pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games,pass_cmp,pass_att,pass_inc,pass_yds,pass_td,pass_int,best_season_pass_yds,best_season_pass_td,best_season_pass_rating,career_pass_cmp_pct,career_pass_td_pct,career_pass_int_pct,career_pass_y_per_a
McCaA.00,A.J. McCarron,A.J. McCarron,QB,QB,Alabama,SR,2,2012,2013,2015,3.0,27,437,650,213,5996,58,10,3063,30,175.3,67.23076923076923,8.923076923076923,1.5384615384615385,9.224615384615385
RodgAa00,Aaron Rodgers,Aaron Rodgers,QB,QB,California,SO,1,2003,2003,2005,0.0,13,215,349,134,2903,19,5,2903,19,146.6,61.60458452722063,5.444126074498568,1.4326647564469914,8.318051575931232
OConAi00,Aidan O'Connell,Aidan O'Connell,QB,QB,Purdue,SR,2,2021,2022,2023,10.0,24,635,938,303,7202,50,24,3712,28,158.8,67.69722814498934,5.330490405117271,2.55863539445629,7.678038379530917
SmitAl03,Alex Smith,Alex Smith,QB,QB,Utah,JR,1,2004,2004,2005,7.0,12,214,317,103,2952,32,4,2952,32,176.5,67.50788643533123,10.094637223974763,1.2618296529968454,9.31230283911672
LuckAn00,Andrew Luck,Andrew Luck,QB,QB,Stanford,JR,2,2010,2011,2012,28.0,26,551,776,225,6855,69,18,3517,37,170.2,71.00515463917526,8.891752577319588,2.3195876288659796,8.833762886597938
WaltAn00,Andrew Walter,Andrew Walter,QB,QB,Arizona State,SR,3,2002,2004,2006,0.0,37,739,1330,591,10071,82,34,3877,30,138.4,55.56390977443609,6.165413533834586,2.556390977443609,7.57218045112782
DaltAn00,Andy Dalton,Andy Dalton,QB,QB,Texas Christian,SR,2,2009,2010,2011,23.0,26,408,639,231,5613,50,14,2857,27,166.5,63.84976525821596,7.82472613458529,2.190923317683881,8.784037558685446
BrowAn06,Anthony Brown,Anthony Brown,QB,QB,Oregon,SR,1,2021,2021,2022,1.0,14,250,390,140,2989,18,7,2989,18,140.1,64.1025641025641,4.615384615384616,1.7948717948717947,7.664102564102564
DaviAu00,Austin Davis,Austin Davis,QB,QB,Southern Mississippi,SR,3,2008,2011,2014,6.0,40,825,1371,546,9727,73,25,3496,30,138.2,60.17505470459519,5.324580598103574,1.8234865061998542,7.094821298322392
ZappBa00,Bailey Zappe,Bailey Zappe,QB,QB,Western Kentucky,SR,1,2021,2021,2022,2.0,14,475,687,212,5967,62,11,5967,62,168.7,69.14119359534206,9.024745269286754,1.6011644832605532,8.685589519650655
MayfBa00,Baker Mayfield,Baker Mayfield,QB,QB,Oklahoma,SR,3,2015,2017,2018,21.0,40,808,1157,349,12292,119,21,4627,43,198.9,69.83578219533275,10.285220397579948,1.8150388936905792,10.624027657735523
RoetBe00,Ben Roethlisberger,Ben Roethlisberger,QB,QB,Miami (OH),JR,3,2001,2003,2004,23.0,38,854,1304,450,10829,84,34,4486,37,165.8,65.49079754601227,6.441717791411043,2.607361963190184,8.304447852760736
GabbBl00,Blaine Gabbert,Blaine Gabbert,QB,QB,Missouri,JR,2,2009,2010,2011,7.0,26,563,920,357,6779,40,18,3593,24,140.5,61.19565217391304,4.3478260869565215,1.956521739130435,7.368478260869566
BortBl00,Blake Bortles,Blake Bortles,QB,QB,UCF,JR,2,2012,2013,2014,19.0,27,510,781,271,6640,50,16,3581,25,163.4,65.30089628681178,6.402048655569782,2.0486555697823303,8.50192061459667
NixxBo00,Bo Nix,Bo Nix,QB,QB,Oregon,SR,2,2022,2023,2024,26.0,27,658,879,221,8101,74,10,4508,45,188.3,74.85779294653014,8.418657565415245,1.1376564277588168,9.216154721274176
VanPBr00,Bradlee Van Pelt,Bradlee Van Pelt,QB,QB,Colorado State,SR,1,2003,2003,2005,0.0,13,180,297,117,2845,19,13,2845,19,153.4,60.60606060606061,6.397306397306397,4.377104377104377,9.57912457912458
QuinBr00,Brady Quinn,Brady Quinn,QB,QB,Notre Dame,SR,2,2005,2006,2007,1.0,25,581,917,336,7345,69,14,3919,37,158.4,63.358778625954194,7.52453653217012,1.5267175572519083,8.009814612868048
AlleBr00,Brandon Allen,Brandon Allen,QB,QB,Arkansas,SR,1,2015,2015,2019,4.0,13,244,370,126,3440,30,8,3440,30,166.5,65.94594594594595,8.108108108108109,2.1621621621621623,9.297297297297296
WeedBr00,Brandon Weeden,Brandon Weeden,QB,QB,Oklahoma State,SR,2,2010,2011,2012,10.0,26,751,1076,325,9004,71,26,4727,37,159.7,69.79553903345726,6.598513011152416,2.41635687732342,8.368029739776953
BasaBr00,Brett Basanez,Brett Basanez,QB,QB,Northwestern,SR,2,2004,2005,2006,0.0,24,561,957,396,6460,33,17,3622,21,135.1,58.620689655172406,3.4482758620689653,1.7763845350052248,6.750261233019854
HundBr00,Brett Hundley,Brett Hundley,QB,QB,UCLA,JR,3,2012,2014,2016,5.0,40,837,1241,404,9966,75,25,3740,29,152.9,67.44560838033844,6.043513295729251,2.0145044319097503,8.030620467365027
RypiBr00,Brett Rypien,Brett Rypien,QB,QB,Boise State,SR,4,2015,2018,2020,1.0,50,1036,1619,583,13581,90,29,3705,30,156.0,63.99011735639284,5.558987029030265,1.7912291537986413,8.388511426806671
BrohBr00,Brian Brohm,Brian Brohm,QB,QB,Louisville,SR,3,2005,2007,2009,0.0,33,714,1087,373,9956,65,22,4024,30,166.7,65.68537258509659,5.979760809567617,2.02391904323827,9.159153633854645
St.PBr20,Brian St. Pierre,Brian St. Pierre,QB,QB,Boston College,SR,1,2002,2002,2004,0.0,13,237,407,170,2983,18,17,2983,18,126.0,58.23095823095823,4.422604422604422,4.176904176904177,7.329238329238329
OsweBr00,Brock Osweiler,Brock Osweiler,QB,QB,Arizona State,JR,1,2011,2011,2012,0.0,13,326,516,190,4036,26,13,4036,26,140.5,63.17829457364341,5.038759689922481,2.5193798449612403,7.821705426356589
